Drive_ID,Vendor,Model,Firmware_Version,Power_On_Hours,Total_TBW_TB,Total_TBR_TB,Temperature_C,Percent_Life_Used,Media_Errors,Unsafe_Shutdowns,CRC_Errors,Read_Error_Rate,Write_Error_Rate,SMART_Warning_Flag,Failure_Mode,Failure_Flag
NVME-00052,VendorC,Model-X2,FW1.0,41989,149.0,192.4,44.7,13.4,1,2,1,6.4,8.85,0,0,0
NVME-00053,VendorD,Model-PRO,FW2.0,14795,206.8,148.5,41.7,44.2,0,8,1,5.74,5.94,0,0,0
NVME-00054,VendorD,Model-PRO,FW1.1,53561,41.3,48.3,41.6,26.3,1,1,0,3.11,11.57,0,0,0
NVME-00055,VendorB,Model-LITE,FW2.0,20883,63.7,35.5,31.9,3.9,0,2,0,19.98,6.12,0,0,0
NVME-00056,VendorD,Model-PRO,FW2.0,52478,114.5,132.6,37.9,31.4,0,6,0,2.1,7.54,0,0,0
NVME-00057,VendorA,Model-ULTRA,FW1.0,1503,106.1,137.4,27.1,25.7,1,5,1,4.67,0.94,0,0,0
NVME-00058,VendorA,Model-PRO,FW1.1,41259,86.5,95.6,49.8,14.7,2,4,0,22.83,13.24,0,0,0
NVME-00059,VendorA,Model-ULTRA,FW2.1,28427,129.5,90.8,33.1,31.3,1,3,2,0.19,13.16,0,0,0
NVME-00060,VendorB,Model-X1,FW2.0,2385,82.8,68.8,49.0,20.5,2,3,0,2.38,5.86,0,0,0
NVME-00061,VendorB,Model-LITE,FW2.1,8962,180.2,235.2,44.9,39.8,0,3,1,5.89,10.78,0,0,0
NVME-00062,VendorA,Model-ULTRA,FW1.1,1828,77.1,71.9,36.8,15.6,1,1,1,6.64,5.68,0,0,0
NVME-00063,VendorD,Model-PRO,FW1.1,11530,111.7,84.4,34.0,22.9,0,0,0,2.89,2.43,0,0,0
NVME-00064,VendorB,Model-LITE,FW1.0,34117,33.9,48.6,41.7,9.0,1,2,1,10.29,9.06,0,0,0
NVME-00065,VendorA,Model-LITE,FW1.2,33746,127.2,144.7,48.7,30.9,1,3,1,2.72,13.84,0,0,0
NVME-00066,VendorB,Model-ULTRA,FW1.0,29022,20.9,27.3,46.5,9.6,3,6,0,2.07,12.14,0,0,0
NVME-00067,VendorA,Model-ULTRA,FW2.1,11643,57.5,30.2,44.5,12.0,3,3,1,22.24,4.75,0,0,0
NVME-00068,VendorD,Model-X2,FW1.0,51775,55.6,46.7,38.7,14.2,1,3,1,7.66,12.39,0,0,0
NVME-00069,VendorA,Model-X2,FW1.1,49749,138.8,133.1,46.5,24.4,2,3,0,0.01,0.67,0,0,0
NVME-00070,VendorD,Model-LITE,FW2.0,26663,43.1,46.9,27.7,0.9,2,4,1,8.33,4.16,0,0,0
NVME-00071,VendorC,Model-X2,FW1.2,25653,102.4,70.7,42.0,20.6,2,4,1,0.91,2.22,0,0,0
NVME-00072,VendorA,Model-PRO,FW1.1,48960,62.0,61.9,40.1,8.0,0,2,2,5.35,12.15,0,0,0
NVME-00073,VendorA,Model-X1,FW2.0,40570,108.9,129.1,30.2,24.2,2,3,0,2.43,4.98,0,0,0
NVME-00074,VendorD,Model-LITE,FW2.1,7678,86.6,73.3,37.2,21.3,0,1,0,3.6,0.05,0,0,0
NVME-00075,VendorC,Model-X1,FW2.1,21363,35.7,42.5,53.5,8.4,1,3,0,5.58,10.66,0,0,0
NVME-00076,VendorC,Model-X2,FW2.1,10768,6.0,5.3,44.6,0.0,1,6,0,6.49,5.39,0,0,0
NVME-00077,VendorC,Model-ULTRA,FW1.0,17022,42.8,41.5,47.5,5.3,0,6,1,0.31,0.35,0,0,0
NVME-00078,VendorA,Model-LITE,FW2.1,12332,44.3,28.1,36.4,13.4,1,1,0,6.31,6.43,0,0,0
NVME-00079,VendorB,Model-X2,FW2.1,9192,148.0,170.4,26.6,38.3,0,1,1,6.6,7.93,0,0,0
NVME-00080,VendorA,Model-PRO,FW1.0,34334,51.2,37.1,52.0,11.4,7,5,0,0.17,14.1,0,0,0
NVME-00081,VendorD,Model-LITE,FW2.0,44075,66.6,88.5,34.1,11.0,1,2,0,4.18,12.91,0,0,0
NVME-00082,VendorC,Model-LITE,FW1.1,40582,68.5,72.2,37.4,19.0,1,2,2,3.35,0.34,0,0,0
NVME-00083,VendorB,Model-ULTRA,FW1.2,18217,98.0,103.9,29.2,15.6,0,2,1,14.64,1.42,0,0,0
NVME-00084,VendorA,Model-LITE,FW2.1,33358,72.1,101.8,51.1,10.7,2,1,1,5.93,9.59,0,0,0
NVME-00085,VendorB,Model-ULTRA,FW2.1,31290,163.9,109.4,42.6,39.7,2,1,0,5.32,7.73,0,0,0
NVME-00086,VendorB,Model-X2,FW2.1,50961,101.5,104.6,38.9,14.6,2,1,0,5.74,16.72,0,0,0
NVME-00087,VendorC,Model-PRO,FW1.0,59197,25.6,22.6,44.9,0.0,1,2,0,4.05,4.99,0,0,0
NVME-00088,VendorC,Model-PRO,FW1.0,23195,37.2,54.5,37.0,14.3,0,8,0,8.2,2.44,0,0,0
NVME-00089,VendorD,Model-LITE,FW1.0,18402,77.2,99.8,35.2,9.0,1,7,0,1.2,7.81,0,0,0
NVME-00090,VendorB,Model-LITE,FW1.2,10326,78.6,98.8,30.6,15.9,0,2,0,1.23,9.49,0,0,0
NVME-00091,VendorA,Model-X2,FW1.1,41034,22.2,15.6,29.5,13.7,2,5,0,5.81,9.68,0,0,0
NVME-00092,VendorC,Model-ULTRA,FW2.1,11003,67.4,49.7,48.6,18.0,2,6,0,6.24,16.98,0,0,0
NVME-00093,VendorC,Model-PRO,FW2.0,22509,179.1,94.8,50.1,34.7,0,1,1,7.16,16.68,0,0,0
NVME-00094,VendorB,Model-ULTRA,FW2.1,42546,38.8,44.2,26.4,10.4,2,2,2,3.15,3.06,0,0,0
NVME-00095,VendorC,Model-X2,FW2.1,14985,17.7,15.4,39.6,6.1,2,3,1,15.81,18.61,0,0,0
NVME-00096,VendorB,Model-PRO,FW2.1,6199,139.9,113.6,40.8,25.6,1,2,0,2.48,8.06,0,0,0
NVME-00097,VendorB,Model-PRO,FW2.1,26176,34.8,39.6,34.8,10.4,0,5,2,3.41,13.29,0,0,0
NVME-00098,VendorB,Model-X1,FW1.1,49449,98.5,130.9,33.5,28.5,1,1,1,8.07,6.7,0,0,0
NVME-00099,VendorA,Model-X2,FW2.0,43027,110.9,70.2,40.8,32.5,3,6,0,21.29,3.85,1,4,1
NVME-00100,VendorA,Model-X2,FW1.0,46678,150.8,213.9,34.4,35.8,0,6,1,1.92,2.17,0,0,0
NVME-00101,VendorA,Model-X1,FW2.0,9826,135.7,72.5,40.3,34.3,0,3,0,8.28,0.56,0,0,0
NVME-00102,VendorC,Model-ULTRA,FW2.1,50965,48.0,28.6,31.4,6.2,0,4,1,5.09,2.56,0,0,0
NVME-00103,VendorB,Model-X1,FW2.0,9640,102.9,137.7,35.3,31.5,0,4,0,3.57,1.88,0,0,0
NVME-00104,VendorB,Model-X2,FW2.1,54035,250.6,248.8,37.8,51.3,0,8,0,18.56,0.43,0,0,0
NVME-00105,VendorD,Model-ULTRA,FW2.0,8202,72.9,104.9,37.3,12.8,0,2,0,9.21,6.95,0,0,0
NVME-00106,VendorA,Model-PRO,FW1.2,12854,95.2,91.5,49.2,19.1,1,3,0,1.64,10.99,0,0,0
NVME-00107,VendorB,Model-X1,FW2.0,36712,24.5,34.9,35.6,2.8,1,2,0,13.46,3.88,0,0,0
NVME-00108,VendorC,Model-ULTRA,FW1.0,33463,119.0,88.0,47.5,20.6,0,3,1,9.61,10.71,0,0,0
NVME-00109,VendorA,Model-ULTRA,FW1.0,8430,43.0,48.0,20.0,8.1,0,4,0,3.46,2.33,0,0,0
NVME-00110,VendorA,Model-ULTRA,FW2.0,50266,58.6,87.6,40.0,20.7,1,3,0,2.65,12.44,0,0,0
NVME-00111,VendorA,Model-X1,FW2.0,341,58.6,51.3,23.2,9.9,1,4,0,2.25,11.53,0,0,0
NVME-00112,VendorA,Model-PRO,FW1.1,18847,35.7,17.9,49.9,5.0,2,0,0,6.98,8.33,0,0,0
NVME-00113,VendorD,Model-ULTRA,FW2.0,47870,78.0,44.0,56.2,24.4,1,3,0,14.63,4.84,0,0,0
NVME-00114,VendorD,Model-X1,FW1.0,49984,8.7,11.8,39.7,0.0,2,2,0,17.17,11.99,0,0,0
NVME-00115,VendorC,Model-X2,FW1.2,234,23.0,22.8,53.8,9.2,0,2,0,6.08,1.88,0,0,0
NVME-00116,VendorD,Model-X1,FW1.0,27935,43.6,45.2,33.6,8.6,3,0,1,2.77,4.98,0,0,0
NVME-00117,VendorD,Model-X1,FW1.1,20245,344.8,448.0,47.9,79.1,2,5,0,13.22,2.25,0,0,0
NVME-00118,VendorA,Model-X1,FW2.0,35494,14.5,19.0,46.8,4.7,0,0,0,5.94,2.6,0,0,0
NVME-00119,VendorD,Model-ULTRA,FW1.2,59930,134.5,131.5,38.8,36.9,1,2,0,8.5,2.42,0,0,0
NVME-00120,VendorB,Model-X1,FW1.0,43184,122.2,166.0,39.9,21.5,1,6,0,4.56,0.94,0,0,0
NVME-00121,VendorD,Model-X2,FW1.2,31219,52.9,51.2,42.7,5.1,0,2,0,5.46,0.66,0,0,0
NVME-00122,VendorD,Model-ULTRA,FW2.1,31193,84.9,99.8,41.6,20.7,0,2,1,22.08,9.18,0,0,0
NVME-00123,VendorB,Model-X2,FW1.0,7279,119.1,63.5,42.8,20.9,2,4,1,5.54,13.91,0,0,0
NVME-00124,VendorA,Model-LITE,FW2.1,34378,55.7,35.5,57.1,16.5,1,5,1,3.65,4.65,0,0,0
NVME-00125,VendorA,Model-X1,FW1.2,59262,172.2,232.7,56.0,40.5,1,2,0,20.57,2.62,0,0,0
NVME-00126,VendorB,Model-ULTRA,FW2.0,45913,223.5,181.7,46.8,51.4,2,3,0,13.11,4.38,0,0,0
NVME-00127,VendorD,Model-ULTRA,FW2.0,19280,83.7,69.9,56.5,15.3,0,3,0,9.41,5.74,0,0,0
NVME-00128,VendorD,Model-X1,FW2.0,7007,37.3,43.4,31.2,8.1,2,2,1,14.05,0.22,0,0,0
NVME-00129,VendorA,Model-PRO,FW2.1,37380,120.9,132.1,46.6,25.7,0,3,0,12.38,3.43,0,0,0
NVME-00130,VendorB,Model-PRO,FW2.0,37170,77.5,45.1,46.9,25.7,2,3,0,1.19,6.92,0,0,0
NVME-00131,VendorB,Model-X2,FW1.1,50895,314.9,398.6,36.7,68.7,0,4,1,10.43,2.56,0,0,0
NVME-00132,VendorA,Model-X1,FW1.0,43828,107.8,120.4,57.3,20.7,1,1,1,1.13,12.45,0,0,0
NVME-00133,VendorA,Model-X1,FW1.0,4506,125.1,169.6,52.9,32.9,2,3,1,5.35,6.43,0,0,0
NVME-00134,VendorB,Model-LITE,FW1.2,30103,139.2,144.1,44.3,26.2,1,4,1,7.07,3.26,0,0,0
NVME-00135,VendorD,Model-PRO,FW2.1,19848,104.8,95.8,34.3,32.4,2,3,0,8.11,10.97,0,0,0
NVME-00136,VendorB,Model-PRO,FW1.0,23252,62.4,54.4,27.7,5.9,0,2,0,1.22,3.47,0,0,0
NVME-00137,VendorB,Model-X1,FW2.1,9691,49.5,25.0,31.7,20.0,0,5,0,8.82,2.82,0,0,0
NVME-00138,VendorC,Model-X2,FW1.2,9842,137.7,74.3,53.1,30.7,1,3,0,8.74,3.69,0,0,0
NVME-00139,VendorB,Model-X1,FW2.0,3511,103.2,65.1,37.8,20.9,1,1,0,7.1,20.21,0,0,0
NVME-00140,VendorD,Model-X2,FW1.2,16566,96.5,138.0,49.2,30.2,1,6,0,1.26,4.41,0,0,0
NVME-00141,VendorD,Model-PRO,FW1.1,38564,90.9,125.5,42.9,18.9,0,2,1,1.96,6.09,0,0,0
NVME-00142,VendorA,Model-LITE,FW2.0,46631,86.4,86.2,23.8,14.1,0,5,2,1.6,3.49,0,0,0
NVME-00143,VendorB,Model-ULTRA,FW2.0,29798,141.5,96.2,37.9,31.2,1,2,1,2.49,4.38,0,0,0
NVME-00144,VendorB,Model-PRO,FW2.0,58923,27.5,17.8,32.3,9.3,1,4,1,2.11,2.34,0,0,0
NVME-00145,VendorA,Model-X2,FW1.2,43980,35.7,27.0,46.7,7.6,2,4,0,20.09,1.49,0,0,0
NVME-00146,VendorA,Model-X1,FW1.1,10575,38.5,54.2,47.1,7.1,3,3,0,7.86,9.88,0,0,0
NVME-00147,VendorC,Model-PRO,FW2.1,31208,80.9,82.6,38.5,16.4,1,3,2,1.95,0.52,0,0,0
NVME-00148,VendorB,Model-LITE,FW1.2,18924,114.2,148.9,52.3,28.3,2,3,0,1.59,3.2,0,0,0
NVME-00149,VendorA,Model-X2,FW1.0,5860,113.8,114.6,48.7,19.5,1,6,0,4.36,17.32,0,0,0
NVME-00150,VendorA,Model-X1,FW1.0,18266,95.1,105.5,36.6,23.4,1,1,0,0.55,6.22,0,0,0
NVME-00151,VendorD,Model-ULTRA,FW1.2,47233,102.4,113.7,44.4,30.4,3,8,0,15.86,6.13,0,0,0
NVME-00152,VendorA,Model-X2,FW2.1,46762,37.0,19.7,33.7,15.3,0,2,0,2.2,2.38,0,0,0
NVME-00153,VendorA,Model-X1,FW1.0,31991,87.2,82.4,37.3,26.8,0,5,2,15.89,1.62,0,0,0
NVME-00154,VendorB,Model-ULTRA,FW2.1,25280,53.3,72.7,44.9,7.5,0,4,1,27.03,8.12,0,0,0
NVME-00155,VendorD,Model-X1,FW2.0,39294,95.8,94.8,40.5,29.7,1,5,0,11.34,2.36,0,0,0
NVME-00156,VendorA,Model-ULTRA,FW1.2,16188,25.0,23.4,28.7,4.8,0,2,0,8.58,2.9,0,0,0
NVME-00157,VendorC,Model-ULTRA,FW2.0,12625,78.7,80.8,43.3,19.6,0,3,2,1.87,14.44,0,0,0
NVME-00158,VendorC,Model-ULTRA,FW1.0,40774,283.5,249.7,37.5,63.1,1,6,1,10.86,2.27,0,0,0
NVME-00159,VendorA,Model-X1,FW2.1,9022,154.6,157.0,33.6,31.2,0,5,0,7.92,7.4,0,0,0
NVME-00160,VendorC,Model-ULTRA,FW2.0,14382,104.0,66.1,31.2,23.9,2,4,0,5.81,6.48,0,0,0
NVME-00161,VendorB,Model-X2,FW1.0,50612,128.1,188.0,38.5,32.4,1,2,0,21.23,1.64,0,0,0
NVME-00162,VendorC,Model-LITE,FW1.1,34946,71.7,38.3,42.0,18.8,0,1,0,11.72,1.56,0,0,0
NVME-00163,VendorC,Model-LITE,FW2.0,17461,122.7,120.6,38.2,29.3,2,0,1,3.43,10.46,0,0,0
NVME-00164,VendorB,Model-ULTRA,FW1.1,29686,5.0,3.5,42.4,0.0,5,2,2,6.37,9.43,0,0,0
NVME-00165,VendorA,Model-LITE,FW1.1,40661,30.4,17.0,37.9,6.0,2,1,0,10.66,7.52,0,0,0
NVME-00166,VendorD,Model-LITE,FW1.0,1737,64.8,74.6,44.7,15.7,1,3,0,4.18,6.49,0,0,0
NVME-00167,VendorB,Model-ULTRA,FW1.2,14016,177.3,263.3,38.8,31.4,1,3,2,2.28,13.59,0,0,0
NVME-00168,VendorA,Model-ULTRA,FW2.1,31026,65.0,81.2,26.9,17.5,1,3,0,3.09,10.26,0,0,0
NVME-00169,VendorA,Model-X2,FW1.0,43041,66.8,50.4,30.4,17.0,0,2,2,12.89,19.15,0,0,0
NVME-00170,VendorB,Model-PRO,FW2.0,19784,29.3,29.1,35.8,13.7,1,3,0,3.41,1.38,0,0,0
NVME-00171,VendorC,Model-X1,FW2.1,36872,63.6,35.0,50.1,12.0,0,5,1,13.04,25.4,0,0,0
NVME-00172,VendorA,Model-ULTRA,FW1.2,17066,224.3,231.4,32.4,49.6,0,4,0,7.73,1.22,0,0,0
NVME-00173,VendorB,Model-ULTRA,FW1.0,48569,101.2,60.7,43.1,22.5,1,6,1,18.41,9.34,0,0,0
NVME-00174,VendorA,Model-LITE,FW1.2,25135,39.1,50.6,43.3,12.1,1,0,2,21.87,13.78,0,0,0
NVME-00175,VendorC,Model-X2,FW2.0,57579,137.4,76.5,30.3,28.3,1,3,1,9.61,4.24,0,0,0
NVME-00176,VendorA,Model-LITE,FW1.0,10268,108.4,55.2,37.8,30.3,1,2,0,4.96,7.77,0,0,0
NVME-00177,VendorC,Model-ULTRA,FW2.0,58421,106.3,144.7,41.2,22.5,2,6,1,14.3,0.16,0,0,0
NVME-00178,VendorB,Model-ULTRA,FW2.1,8575,199.9,288.4,37.8,45.6,0,1,0,2.8,3.12,0,0,0
NVME-00179,VendorD,Model-LITE,FW2.1,27573,16.8,9.9,44.5,0.2,2,3,0,1.4,6.29,0,0,0
NVME-00180,VendorA,Model-ULTRA,FW1.2,35266,133.8,104.2,44.2,24.0,2,1,2,6.84,0.58,0,0,0
NVME-00181,VendorB,Model-PRO,FW1.2,53364,169.0,209.8,41.7,37.0,1,2,1,12.33,0.34,0,0,0
NVME-00182,VendorA,Model-X1,FW2.1,34106,12.5,13.0,47.3,0.0,3,1,1,8.55,2.43,0,0,0
NVME-00183,VendorD,Model-X1,FW1.1,3566,73.2,106.1,40.0,11.2,0,5,0,10.44,9.11,0,0,0
NVME-00184,VendorD,Model-X1,FW2.1,22002,33.0,29.3,40.9,7.2,0,4,1,7.32,5.88,0,0,0
NVME-00185,VendorA,Model-PRO,FW1.0,59905,64.2,32.3,42.3,7.6,4,1,1,7.05,5.41,0,0,0
NVME-00186,VendorC,Model-ULTRA,FW2.0,5463,121.1,62.9,31.2,25.3,2,1,0,6.58,7.88,0,0,0
NVME-00187,VendorD,Model-LITE,FW2.1,36034,134.8,143.5,44.6,30.1,2,1,1,14.28,9.6,0,0,0
NVME-00188,VendorB,Model-X2,FW2.1,59497,250.7,313.9,35.1,61.1,1,6,0,4.92,3.3,0,0,0
NVME-00189,VendorB,Model-ULTRA,FW2.0,33647,73.8,95.2,38.3,15.7,2,0,0,6.97,5.66,0,0,0
NVME-00190,VendorA,Model-PRO,FW2.0,2234,179.3,253.1,44.4,41.8,0,2,0,2.76,0.97,0,0,0
NVME-00191,VendorA,Model-PRO,FW1.0,51488,74.5,54.3,43.6,10.2,1,6,0,2.26,3.76,0,0,0
NVME-00192,VendorD,Model-X1,FW2.0,50891,296.3,366.9,28.6,59.7,0,0,1,8.71,0.18,0,0,0
NVME-00193,VendorD,Model-ULTRA,FW1.2,41479,132.5,175.8,28.7,33.8,1,2,1,9.72,0.92,0,0,0
NVME-00194,VendorC,Model-X1,FW2.1,26502,97.4,130.2,32.0,18.1,1,2,1,16.03,10.55,0,0,0
NVME-00195,VendorB,Model-X2,FW2.0,27814,40.8,37.2,41.6,4.1,1,5,1,0.91,8.08,0,0,0
NVME-00196,VendorB,Model-X1,FW1.0,20173,170.1,191.5,50.5,32.8,1,5,0,5.05,8.24,0,0,0
NVME-00197,VendorC,Model-X2,FW2.0,14683,123.1,129.4,36.1,25.7,1,1,0,24.37,20.14,0,0,0
NVME-00198,VendorD,Model-PRO,FW2.1,37823,88.6,97.2,32.5,22.9,4,1,0,16.91,3.61,0,0,0
NVME-00199,VendorD,Model-X1,FW1.1,41266,201.4,157.5,32.5,33.9,1,3,0,5.87,5.22,0,0,0
NVME-00200,VendorC,Model-X1,FW2.0,23856,256.7,303.7,43.5,70.2,1,3,0,6.59,9.07,0,0,0
NVME-00201,VendorC,Model-LITE,FW1.2,19874,190.5,230.5,48.6,42.7,1,5,0,0.47,7.11,0,0,0
NVME-00202,VendorA,Model-PRO,FW2.1,23734,187.8,130.7,48.1,37.4,2,2,0,6.39,19.91,0,0,0
NVME-00203,VendorA,Model-LITE,FW1.0,31243,97.4,91.9,34.6,20.8,1,3,0,15.9,7.79,0,0,0
NVME-00204,VendorD,Model-X2,FW2.1,7349,185.8,171.3,27.9,36.5,2,5,0,15.47,1.48,0,0,0
NVME-00205,VendorC,Model-X2,FW1.1,44930,222.1,277.4,40.7,50.3,1,3,0,3.9,16.38,0,0,0
NVME-00206,VendorA,Model-PRO,FW1.0,31368,149.1,173.9,51.9,29.1,1,6,1,5.23,5.18,0,0,0
NVME-00207,VendorA,Model-X2,FW1.1,3896,134.5,131.3,43.5,30.6,2,1,1,3.49,9.49,0,0,0
NVME-00208,VendorC,Model-PRO,FW1.1,19018,55.8,64.3,29.1,10.0,1,3,1,10.51,10.55,0,0,0
NVME-00209,VendorA,Model-X2,FW1.2,18664,89.0,67.9,39.5,22.7,0,6,0,3.07,6.24,0,0,0
NVME-00210,VendorA,Model-ULTRA,FW2.0,30812,105.5,77.3,31.9,32.1,0,4,2,10.39,17.32,0,0,0
NVME-00211,VendorB,Model-X1,FW1.2,28886,32.7,24.2,42.6,3.7,1,2,1,3.9,7.76,0,0,0
NVME-00212,VendorC,Model-ULTRA,FW1.2,15412,37.4,19.8,39.7,8.1,1,2,1,1.6,1.9,0,0,0
NVME-00213,VendorC,Model-PRO,FW1.2,53558,133.1,158.5,37.8,32.9,1,0,0,2.33,8.01,0,0,0
NVME-00214,VendorA,Model-PRO,FW1.0,53479,173.3,257.5,35.0,44.7,0,2,1,8.23,2.53,0,0,0
